	QMCDP007A3_pWPIonly_S1	QMCDP008AB_pWPIonly_S2	QMCDP009AJ_pWPIonly_S3	QMCDP010AM_pWPIHXB_S1	QMCDP011AU_pWPIHXB_S2	QMCDP012A4_pWPIHXB_S3
ENSG00000272796	2	26	18	2	20	21
ENSG00000227868	2	1	0	0	3	3
ENSG00000004487	8665	9809	9157	6409	7891	7546
ENSG00000240553	0	1	0	0	0	0
ENSG00000169641	2115	2119	1185	1565	2243	2530
ENSG00000229010	0	0	0	0	3	0
ENSG00000206935	1	0	0	0	0	0
ENSG00000179546	1	0	0	0	1	2
ENSG00000215381	0	1	1	0	0	0
ENSG00000261326	161	184	203	86	174	237
ENSG00000125944	11947	10620	9905	8813	9442	10419
ENSG00000125945	625	573	402	600	702	653
ENSG00000249087	186	144	199	117	152	156
ENSG00000204219	7	32	11	6	31	12
ENSG00000232482	1	0	0	0	0	0
ENSG00000088280	177	306	151	166	323	234
ENSG00000007968	1833	2232	1867	2143	3940	4894
ENSG00000235052	14	27	22	3	7	16
ENSG00000117318	1484	1013	1268	973	709	650
ENSG00000197880	0	2	3	0	1	1
ENSG00000142676	16570	21766	23198	13608	17621	14157
ENSG00000203589	0	3	1	0	0	3
ENSG00000244609	0	0	0	1	0	1
ENSG00000011007	2599	2288	1506	1891	2123	1988
ENSG00000236810	56	43	49	45	40	49
ENSG00000057757	1305	1578	1697	1060	1287	1213
ENSG00000011009	1675	1632	1726	1499	1651	1558
ENSG00000117308	1002	845	818	582	596	412
ENSG00000117305	461	473	510	363	500	384
ENSG00000179163	518	611	525	519	529	471
ENSG00000188822	708	1006	881	891	1439	1798
ENSG00000264347	2	1	0	1	2	2
ENSG00000238538	0	3	1	3	4	5
ENSG00000229106	26	43	29	94	104	152
ENSG00000232557	2	1	0	1	1	4
ENSG00000230228	2	2	0	3	2	1
ENSG00000189266	4324	4722	5429	2777	3976	4023
ENSG00000188529	6699	6553	6198	5123	5976	6557
ENSG00000215905	0	0	1	0	0	0
ENSG00000225315	0	2	0	0	0	0
ENSG00000142661	5	1	3	3	3	0
ENSG00000142677	95	18	18	116	22	30
ENSG00000185436	27	24	14	30	65	58
ENSG00000230023	0	1	0	1	0	0
ENSG00000158055	0	0	0	0	0	1
ENSG00000001460	25	22	9	22	32	40
ENSG00000001461	2012	1959	1568	2243	3096	3487
ENSG00000117602	1534	1099	994	1199	1484	1793
ENSG00000184454	0	2	0	0	4	1
ENSG00000133226	5342	4431	3545	2999	3382	3698
ENSG00000238986	0	1	0	0	1	0
ENSG00000169504	4053	4747	3937	3125	5254	5852
ENSG00000020633	705	881	937	888	1383	1585
ENSG00000229162	0	0	1	3	1	4
ENSG00000233755	0	0	0	0	0	2
ENSG00000117614	1441	1763	2013	1316	1808	1766
ENSG00000117616	2193	1791	1995	1586	1892	2208
ENSG00000272432	5	3	4	5	5	3
ENSG00000261349	51	36	30	32	38	41
ENSG00000187010	34	28	28	38	33	54
ENSG00000224183	5	6	8	3	7	9
ENSG00000259984	7	2	7	4	13	17
ENSG00000183726	2710	3200	3033	2769	3143	3031
ENSG00000252515	0	0	0	0	0	1
ENSG00000238889	0	2	0	1	2	2
ENSG00000188672	20	18	32	22	29	19
ENSG00000238084	1	2	2	0	1	1
ENSG00000204178	1160	1515	1218	1190	1876	2240
ENSG00000157978	366	417	373	350	628	675
ENSG00000225643	0	1	1	0	1	0
ENSG00000117643	1	9	5	5	18	13
ENSG00000233478	0	0	0	0	1	1
ENSG00000162430	1189	1453	740	953	1419	1103
ENSG00000228172	2	2	1	1	1	0
ENSG00000117640	634	714	625	577	696	745
ENSG00000223474	5	7	1	3	9	8
ENSG00000127423	614	547	450	531	457	449
ENSG00000236528	0	1	0	0	1	1
ENSG00000182749	74	39	20	78	31	31
ENSG00000117632	25350	31718	39592	23285	30099	33235
ENSG00000229786	1	0	0	1	0	1
ENSG00000223624	1	1	0	0	0	0
ENSG00000158006	502	846	722	424	562	592
ENSG00000207237	0	0	1	1	0	0
ENSG00000252190	0	1	0	0	0	0
ENSG00000158008	13	21	24	5	15	25
ENSG00000158014	0	1	0	0	0	0
ENSG00000158022	2	0	1	0	1	0
ENSG00000175087	1682	1718	1833	1284	1490	1793
ENSG00000197245	4	21	17	7	26	28
ENSG00000142684	13	16	27	11	14	17
ENSG00000236782	1	0	1	1	1	4
ENSG00000142675	11	7	9	4	8	4
ENSG00000188782	0	1	0	1	0	1
ENSG00000236155	0	2	2	0	1	0
ENSG00000130695	2459	2782	2386	2068	2674	2853
ENSG00000270733	2	3	5	5	3	2
ENSG00000142669	2445	2453	2622	2393	3534	4128
ENSG00000158062	641	622	774	544	574	595
ENSG00000169442	136	246	269	154	309	453
ENSG00000176092	20	28	15	13	23	20
ENSG00000176083	0	2	3	0	1	4
ENSG00000131914	0	0	2	2	0	0
ENSG00000117682	1140	953	729	841	922	862
ENSG00000223583	4	2	1	2	4	2
ENSG00000225891	5	6	3	5	6	12
ENSG00000198830	8770	7876	8782	6328	6958	7620
ENSG00000117676	2502	2542	2174	2524	3711	3720
ENSG00000243905	0	2	0	0	0	0
ENSG00000260063	43	60	57	16	45	36
ENSG00000117713	7275	7729	4245	6528	8983	11552
ENSG00000266138	0	0	1	0	2	0
ENSG00000060642	354	410	285	311	460	345
ENSG00000241188	0	1	0	0	0	0
ENSG00000204160	1272	1341	1313	1173	1636	1743
ENSG00000175793	12	15	19	15	19	22
ENSG00000142751	897	809	702	787	851	811
ENSG00000198746	409	426	541	286	364	366
ENSG00000090273	6454	5671	6555	4322	4127	3603
ENSG00000131910	1	0	1	0	1	0
ENSG00000175707	1	2	0	1	0	0
ENSG00000172746	1	0	0	0	0	1
ENSG00000225294	1	0	0	0	0	0
ENSG00000253368	39	63	35	15	28	13
ENSG00000158246	0	1	0	0	0	0
ENSG00000090020	735	720	465	675	764	794
ENSG00000214973	11	18	16	9	11	7
ENSG00000225159	27	12	20	16	7	9
ENSG00000142784	284	359	304	283	564	595
ENSG00000252098	0	0	0	0	0	1
ENSG00000243659	1	0	0	0	3	7
ENSG00000186501	416	506	554	368	515	495
ENSG00000206888	1	2	0	2	3	0
ENSG00000241547	12	9	3	11	5	19
ENSG00000142765	1041	1514	2404	1043	2175	2993
ENSG00000142733	53	47	39	28	50	34
ENSG00000142748	2	1	0	1	0	0
ENSG00000174950	0	0	1	0	0	0
ENSG00000181773	41	70	63	10	52	34
ENSG00000158195	4933	5439	3567	4122	5482	6131
ENSG00000237429	7	8	7	3	7	2
ENSG00000126705	950	1062	735	1043	1777	2531
ENSG00000000938	27	164	140	18	321	696
ENSG00000235912	12	1	7	1	5	7
ENSG00000233975	12	5	16	14	16	15
ENSG00000126709	817	1606	1972	713	2135	2237
ENSG00000225886	7	12	6	4	10	21
ENSG00000009780	628	591	562	480	505	599
ENSG00000231344	2	0	2	2	0	3
ENSG00000230833	0	0	1	0	0	0
ENSG00000117758	986	930	846	797	1090	1019
