	entrezgene	ensembl_gene_id	gene_name	filter	baseMean	log2FoldChange_condition_treat_day6_on_vs_day6_off	lfcSE_condition_treat_day6_on_vs_day6_off	stat_condition_treat_day6_on_vs_day6_off	pvalue_condition_treat_day6_on_vs_day6_off	padj_condition_treat_day6_on_vs_day6_off	filter1	external_gene_name	pathway_id
5587	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04728
5588	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu05152
5589	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04662
5590	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04924
5591	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04921
5592	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04720
5593	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04659
5594	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04022
5595	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04922
5596	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04020
5597	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04310
5598	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04370
5599	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu05166
5600	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu05031
5601	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04010
5602	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04360
5603	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu05167
5604	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu05170
5605	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04114
5606	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04650
